flow_component,flow_characteristic,flow_metric,title_name,title_name2,title_component,title_component2,title_ffm,title_ffm2,description
Fall pulse flow,Magnitude (cfs),FA_Mag,Fall Pulse Flow: Magnitude,Fall Pulse Flow: Magnitude,Fall Pulse Flow,Fall Pulse Flow, Magnitude (cfs), Magnitude (cfs),Peak magnitude of fall season pulse event (maximum daily peak flow during event)
Fall pulse flow,Timing (date),FA_Tim,Fall Pulse Flow: Timing,Fall Pulse Flow: Timing,Fall Pulse Flow,Fall Pulse Flow, Timing (date), Timing (date),Start date of fall pulse event
Fall pulse flow,Duration (days),FA_Dur,Fall Pulse Flow: Duration,Fall Pulse Flow: Duration,Fall Pulse Flow,Fall Pulse Flow, Duration (days), Duration (days),Duration of fall pulse event (# of days start-end) 
Wet-season baseflow,Magnitude (cfs),Wet_BFL_Mag_10,Wet-Season Baseflow: Magnitude,Wet-Season Baseflow: Magnitude 10th percentile,Wet-Season Baseflow,Wet-Season Baseflow, Magnitude (cfs), Magnitude 10th percentile (cfs),"Magnitude of wet season baseflows (10th  percentile of daily flows within that season, including peak flow events)"
Wet-season baseflow,Magnitude (cfs),Wet_BFL_Mag_50,Wet-Season: Median Magnitude,Wet-Season: Magnitude 50th percentile,Wet-Season Baseflow,Wet-Season, Median Magnitude (cfs), Magnitude 50th percentile (cfs),"Magnitude of wet season baseflows (50th percentile of daily flows within that season, including peak flow events)"
Wet-season baseflow,Timing (date),Wet_Tim,Wet-Season Baseflow: Timing,Wet-Season Baseflow: Timing,Wet-Season Baseflow,Wet-Season Baseflow, Timing (date), Timing (date),Start date of wet season
Wet-season baseflow,Duration (days),Wet_BFL_Dur,Wet-Season Baseflow: Duration,Wet-Season Baseflow: Duration,Wet-Season Baseflow,Wet-Season Baseflow, Duration (days), Duration (days),Wet season baseflow duration (# of days from start of wet season to start of spring season)
Peak flow,Magnitude (cfs),Peak_10,Peak Flow: Magnitude (10-year flood),Peak Flow: Magnitude (10-year flood),Peak Flow Magnitude,Peak Flow Magnitude," Magnitude (10-year flood, cfs)"," Magnitude (10-year flood, cfs)",Peak-flow magnitude (10% exeedance values of annual peak flow --> 10 year recurrence intervals)
Peak flow,Magnitude (cfs),Peak_5,Peak Flow: Magnitude (5-year flood),Peak Flow: Magnitude (5-year flood),Peak Flow Magnitude,Peak Flow Magnitude," Magnitude (5-year flood, cfs)"," Magnitude (5-year flood, cfs)",Peak-flow magnitude (20% exeedance values of annual peak flow --> 5 year recurrence intervals)
Peak flow,Magnitude (cfs),Peak_2,Peak Flow: Magnitude (2-year flood),Peak Flow: Magnitude (2-year flood),Peak Flow Magnitude,Peak Flow Magnitude," Magnitude (2-year flood, cfs)"," Magnitude (2-year flood, cfs)",Peak-flow magnitude (50% exeedance values of annual peak flow --> 2 year recurrence intervals)
Peak flow,Duration (days),Peak_Dur_10,Peak Flow: Duration (10-year flood),Peak Flow: Duration (10-year flood),Peak Flow Duration,Peak Flow Duration," Duration (10-year flood, days)"," Duration (10-year flood, days)",Duration of peak flows over wet season (cumulative number of days in which a given peak-flow recurrence interval is exceeded in a year).
Peak flow,Duration (days),Peak_Dur_5,Peak Flow: Duration (5-year flood),Peak Flow: Duration (5-year flood),Peak Flow Duration,Peak Flow Duration," Duration (5-year flood, days)"," Duration (5-year flood, days)",Duration of peak flows over wet season (cumulative number of days in which a given peak-flow recurrence interval is exceeded in a year).
Peak flow,Duration (days),Peak_Dur_2,Peak Flow: Duration (2-year flood),Peak Flow: Duration (2-year flood),Peak Flow Duration,Peak Flow Duration,"Duration (2-year flood, days)","Duration (2-year flood, days)",Duration of peak flows over wet season (cumulative number of days in which a given peak-flow recurrence interval is exceeded in a year).
Peak flow,Frequency,Peak_Fre_10,Peak Flow: Frequency (10-year flood),Peak Flow: Frequency (10-year flood),Peak Flow Frequency,Peak Flow Frequency, Frequency (10-year flood), Frequency (10-year flood),Frequency of peak flow events over wet season (number of times in which a given peak-flow recurrence interval is exceeded in a year).
Peak flow,Frequency,Peak_Fre_5,Peak Flow: Frequency (5-year flood),Peak Flow: Frequency (5-year flood),Peak Flow Frequency,Peak Flow Frequency, Frequency (5-year flood), Frequency (5-year flood),Frequency of peak flow events over wet season (number of times in which a given peak-flow recurrence interval is exceeded in a year).
Peak flow,Frequency,Peak_Fre_2,Peak Flow: Frequency (2-year flood),Peak Flow: Frequency (2-year flood),Peak Flow Frequency,Peak Flow Frequency, Frequency (2-year flood), Frequency (2-year flood),Frequency of peak flow events over wet season (number of times in which a given peak-flow recurrence interval is exceeded in a year).
Spring recession flow,Magnitude (cfs),SP_Mag,Spring Recession Flow: Magnitude,Spring Recession Flow: Magnitude,Spring Recession Flow,Spring Recession Flow, Magnitude (cfs), Magnitude (cfs),Spring peak magnitude (daily flow on start date of spring-flow period)
Spring recession flow,Timing (date),SP_Tim,Spring Recession Flow: Timing,Spring Recession Flow: Timing,Spring Recession Flow,Spring Recession Flow, Timing (date), Timing (date),Start date of spring (date)
Spring recession flow,Duration (days),SP_Dur,Spring Recession Flow: Duration,Spring Recession Flow: Duration,Spring Recession Flow,Spring Recession Flow, Duration (days), Duration (days),Spring flow recession duration (# of days from start of spring to start of summer baseflow period)
Spring recession flow,Rate of change (%),SP_ROC,Spring Recession Flow: Rate of Change,Spring Recession Flow: Rate of Change,Spring Recession Flow,Spring Recession Flow, Rate of Change (% decrease per day), Rate of Change (% decrease per day),Spring flow recession rate (Percent decrease per day over spring recession period)
Dry-season baseflow,Magnitude (cfs),DS_Mag_50,Dry-Season Baseflow: Magnitude,Dry-Season Baseflow: Magnitude (50th percentile),Dry-Season Baseflow,Dry-Season Baseflow, Magnitude (cfs)," Magnitude (50th percentile, cfs)","Baseflow magnitude (50th percentile of daily flow within summer season, calculated on an annual basis)"
Dry-season baseflow,Magnitude (cfs),DS_Mag_90,Dry-Season Baseflow: High Magnitude,Dry-Season Baseflow: Magnitude (90th percentile),Dry-Season Baseflow,Dry-Season Baseflow, High Magnitude (cfs)," Magnitude (90th percentile, cfs)","Baseflow magnitude (90th percentile of daily flow within summer season, calculated on an annual basis)"
Dry-season baseflow,Timing (date),DS_Tim,Dry-Season Baseflow: Timing,Dry-Season Baseflow: Timing,Dry-Season Baseflow,Dry-Season Baseflow, Timing (date), Timing (date),Summer timing (start date of summer)
Dry-season baseflow,Duration (days),DS_Dur_WS,Dry-Season Baseflow: Duration,Dry-Season Baseflow: Duration,Dry-Season Baseflow,Dry-Season Baseflow, Duration (days), Duration (days),Summer flow duration (# of days from start of summer to start of wet season)
Peak flow,Magnitude (cfs),Q99,Peak Flow: Magnitude of largest storm (Q99),Peak Flow: Magnitude of largest storm (Q99),Peak Flow Magnitude,Peak Flow Magnitude," Magnitude of largest storm (Q99, cfs)"," Magnitude of largest storm (Q99, cfs)",Annual 99th percentile of mean daily flow (Q99)
